,Class,Frequency,Percent of Total
0,AVB,19,0.0627062706270627
1,AIB,18,0.0594059405940594
2,AIZ,15,0.04950495049504951
3,RIM,13,0.0429042904290429
4,AIA,11,0.036303630363036306
5,RIA,10,0.033003300330033
6,RIB,9,0.0297029702970297
7,ADF,9,0.0297029702970297
8,AVE,8,0.026402640264026403
9,IL1V,7,0.0231023102310231
10,RIP,7,0.0231023102310231
11,ADA,7,0.0231023102310231
12,PVC,7,0.0231023102310231
13,URAV,6,0.019801980198019802
14,AVJ,6,0.019801980198019802
15,AIY,5,0.0165016501650165
16,ASI,5,0.0165016501650165
17,CEPV,5,0.0165016501650165
18,CEPD,5,0.0165016501650165
19,RIG,5,0.0165016501650165
20,ASH,5,0.0165016501650165
21,PVP,5,0.0165016501650165
22,AVA,5,0.0165016501650165
23,AVK,4,0.013201320132013201
24,IL2V,4,0.013201320132013201
25,AQR,4,0.013201320132013201
26,AWC,4,0.013201320132013201
27,ASG,4,0.013201320132013201
28,ADE,4,0.013201320132013201
29,RIF,4,0.013201320132013201
30,AWB,4,0.013201320132013201
31,AUA,4,0.013201320132013201
32,ADL,3,0.009900990099009901
33,RIR,3,0.009900990099009901
34,ASK,3,0.009900990099009901
35,URX,3,0.009900990099009901
36,AWA,3,0.009900990099009901
37,SAAD,3,0.009900990099009901
38,RIS,3,0.009900990099009901
39,SMDV,3,0.009900990099009901
40,FLP,3,0.009900990099009901
41,RIC,3,0.009900990099009901
42,RMDV,3,0.009900990099009901
43,URYV,3,0.009900990099009901
44,PVQ,2,0.006600660066006601
45,ASE,2,0.006600660066006601
46,URYD,2,0.006600660066006601
47,RMDD,2,0.006600660066006601
48,IL2D,2,0.006600660066006601
49,SMBD,2,0.006600660066006601
50,OLL,2,0.006600660066006601
51,RMD,2,0.006600660066006601
52,RIH,2,0.006600660066006601
53,IL1D,2,0.006600660066006601
54,DVC,2,0.006600660066006601
55,URAD,1,0.0033003300330033004
56,URB,1,0.0033003300330033004
57,RMF,1,0.0033003300330033004
58,PVT,1,0.0033003300330033004
59,RMG,1,0.0033003300330033004
60,SAAV,1,0.0033003300330033004
61,ALN,1,0.0033003300330033004
62,OLQD,1,0.0033003300330033004
63,OLQV,1,0.0033003300330033004
64,SMDD,1,0.0033003300330033004
65,AVM,1,0.0033003300330033004
66,AVD,1,0.0033003300330033004
67,ASJ,1,0.0033003300330033004
68,DVA,1,0.0033003300330033004
69,AIM,1,0.0033003300330033004
70,SMBV,1,0.0033003300330033004
71,RME,1,0.0033003300330033004
